,years,state,labor.pop
234,2014,Connecticut,1889102
235,2015,Connecticut,1892087
236,2016,Connecticut,1893200
237,2017,Connecticut,1903348
238,2018,Connecticut,1905382
239,1985,Delaware,316616
240,1986,Delaware,324432
241,1987,Delaware,333239
242,1988,Delaware,347343
243,1989,Delaware,357909
244,1990,Delaware,360126
245,1991,Delaware,362077
246,1992,Delaware,366987
247,1993,Delaware,375853
248,1994,Delaware,384251
249,1995,Delaware,385976
250,1996,Delaware,388837
251,1997,Delaware,389712
252,1998,Delaware,396044
253,1999,Delaware,400120
254,2000,Delaware,412956
255,2001,Delaware,421563
256,2002,Delaware,417207
257,2003,Delaware,415890
258,2004,Delaware,421093
259,2005,Delaware,433375
260,2006,Delaware,443228
261,2007,Delaware,445306
262,2008,Delaware,450265
263,2009,Delaware,438383
264,2010,Delaware,436196
265,2011,Delaware,443971
266,2012,Delaware,445962
267,2013,Delaware,443551
268,2014,Delaware,452712
269,2015,Delaware,462752
270,2016,Delaware,468808
271,2017,Delaware,475671
272,2018,Delaware,481179
273,1985,Florida,5339493
274,1986,Florida,5579374
275,1987,Florida,5860506
276,1988,Florida,6074954
277,1989,Florida,6259000
278,1990,Florida,6482725
279,1991,Florida,6510989
280,1992,Florida,6626483
281,1993,Florida,6762182
282,1994,Florida,6935038
283,1995,Florida,7041153
284,1996,Florida,7179271
285,1997,Florida,7385282
286,1998,Florida,7549879
287,1999,Florida,7702482
288,2000,Florida,7917857
289,2001,Florida,8048882
290,2002,Florida,8050051
291,2003,Florida,8123135
292,2004,Florida,8347316
293,2005,Florida,8647279
294,2006,Florida,8927098
295,2007,Florida,9113604
296,2008,Florida,9156458
297,2009,Florida,8987789
298,2010,Florida,9147107
299,2011,Florida,9260348
300,2012,Florida,9335727
301,2013,Florida,9414664
302,2014,Florida,9546407
303,2015,Florida,9639737
304,2016,Florida,9841301
305,2017,Florida,10032422
306,2018,Florida,10166231
307,1985,Georgia,2874345
308,1986,Georgia,2979197
309,1987,Georgia,3057532
310,1988,Georgia,3147975
311,1989,Georgia,3208172
312,1990,Georgia,3290128
313,1991,Georgia,3315973
314,1992,Georgia,3421655
315,1993,Georgia,3501845
316,1994,Georgia,3606992
317,1995,Georgia,3689479
318,1996,Georgia,3806941
319,1997,Georgia,3944461
320,1998,Georgia,4047860
321,1999,Georgia,4129058
322,2000,Georgia,4202695
323,2001,Georgia,4257901
324,2002,Georgia,4341617
325,2003,Georgia,4414282
326,2004,Georgia,4464780
327,2005,Georgia,4598159
328,2006,Georgia,4713863
329,2007,Georgia,4810264
330,2008,Georgia,4863225
331,2009,Georgia,4792150
332,2010,Georgia,4709781
333,2011,Georgia,4739281
334,2012,Georgia,4770618
335,2013,Georgia,4750046
336,2014,Georgia,4745859
337,2015,Georgia,4734088
338,2016,Georgia,4921814
339,2017,Georgia,5106156
340,2018,Georgia,5118256
341,1985,Hawaii,481644
342,1986,Hawaii,493152
343,1987,Hawaii,511531
344,1988,Hawaii,518264
345,1989,Hawaii,530024
346,1990,Hawaii,550484
347,1991,Hawaii,564852
348,1992,Hawaii,576944
349,1993,Hawaii,582121
350,1994,Hawaii,583221
351,1995,Hawaii,585368
352,1996,Hawaii,594972
353,1997,Hawaii,601737
354,1998,Hawaii,602650
355,1999,Hawaii,603670
356,2000,Hawaii,605395
357,2001,Hawaii,607556
358,2002,Hawaii,601786
359,2003,Hawaii,603936
360,2004,Hawaii,611752
361,2005,Hawaii,625530
362,2006,Hawaii,635415
363,2007,Hawaii,636710
364,2008,Hawaii,641526
365,2009,Hawaii,631970
366,2010,Hawaii,648549
367,2011,Hawaii,660634
368,2012,Hawaii,650415
369,2013,Hawaii,650978
370,2014,Hawaii,664014
371,2015,Hawaii,670594
372,2016,Hawaii,679121
373,2017,Hawaii,679783
374,2018,Hawaii,675187
375,1985,Idaho,466831
376,1986,Idaho,472247
377,1987,Idaho,472236
378,1988,Idaho,479331
379,1989,Idaho,490404
380,1990,Idaho,494169
381,1991,Idaho,509647
382,1992,Idaho,529651
383,1993,Idaho,551298
384,1994,Idaho,587593
385,1995,Idaho,602000
386,1996,Idaho,617087
387,1997,Idaho,632640
388,1998,Idaho,651254
389,1999,Idaho,653982
390,2000,Idaho,661066
391,2001,Idaho,678281
392,2002,Idaho,685650
393,2003,Idaho,691702
394,2004,Idaho,702872
395,2005,Idaho,730354
396,2006,Idaho,744475
397,2007,Idaho,755287
398,2008,Idaho,759676
399,2009,Idaho,763633
400,2010,Idaho,762147
401,2011,Idaho,764205
402,2012,Idaho,772112
403,2013,Idaho,777606
404,2014,Idaho,776937
405,2015,Idaho,795014
406,2016,Idaho,812921
407,2017,Idaho,833996
408,2018,Idaho,855263
409,1985,Illinois,5659777
410,1986,Illinois,5693266
411,1987,Illinois,5764392
412,1988,Illinois,5839006
413,1989,Illinois,5994480
414,1990,Illinois,5928974
415,1991,Illinois,5929544
416,1992,Illinois,6028864
417,1993,Illinois,6078012
