"","year","state1","state2"
"177","2013","Alabama","South Carolina"
"178","2013","Arizona","Indiana"
"179","2013","Florida","New York"
"180","2013","Georgia","North Carolina"
"181","2013","Kentucky","South Carolina"
"182","2014","Alabama","Kentucky"
"183","2014","Alabama","Louisiana"
"184","2014","Alabama","South Carolina"
"185","2014","Colorado","Wisconsin"
"186","2014","Kentucky","Louisiana"
"187","2014","Kentucky","South Carolina"
"188","2014","Louisiana","South Carolina"
"189","2015","Alabama","Louisiana"
"190","2015","Alabama","South Carolina"
"191","2015","Arizona","Tennessee"
"192","2015","Georgia","North Carolina"
"193","2015","Indiana","Wisconsin"
"194","2015","Louisiana","South Carolina"
"195","2016","Georgia","North Carolina"
"196","2016","Indiana","Missouri"
"197","2016","Indiana","Tennessee"
"198","2016","Missouri","Tennessee"
"199","2017","Alabama","Kentucky"
"200","2017","Alabama","South Carolina"
"201","2017","Indiana","Missouri"
"202","2017","Indiana","Tennessee"
"203","2017","Indiana","Wisconsin"
"204","2017","Iowa","Utah"
"205","2017","Minnesota","Wisconsin"
"206","2017","Missouri","Tennessee"
"207","2018","Alabama","Kentucky"
"208","2018","Alabama","Louisiana"
"209","2018","Connecticut","Oregon"
"210","2018","Delaware","Montana"
"211","2018","Georgia","North Carolina"
"212","2018","Indiana","Missouri"
"213","2018","Indiana","Tennessee"
"214","2018","Kentucky","Louisiana"
"215","2018","Missouri","Tennessee"
"216","2018","Missouri","Wisconsin"
