,years,state,,
195,2009,Colorado,55930,55.9
196,2010,Colorado,60233,60.2
197,2011,Colorado,58629,58.6
198,2012,Colorado,57255,57.3
199,2013,Colorado,67912,67.9
200,2014,Colorado,60940,60.9
201,2015,Colorado,66596,66.6
202,2016,Colorado,70566,70.6
203,2017,Colorado,74984,75
204,2018,Colorado,73034,73
205,1985,Connecticut,31090,31.1
206,1986,Connecticut,32721,32.7
207,1987,Connecticut,32862,32.9
208,1988,Connecticut,36213,36.2
209,1989,Connecticut,42321,42.3
210,1990,Connecticut,38870,38.9
211,1991,Connecticut,42154,42.2
212,1992,Connecticut,40841,40.8
213,1993,Connecticut,39516,39.5
214,1994,Connecticut,41097,41.1
215,1995,Connecticut,40243,40.2
216,1996,Connecticut,42119,42.1
217,1997,Connecticut,43985,44
218,1998,Connecticut,46508,46.5
219,1999,Connecticut,50593,50.6
220,2000,Connecticut,50172,50.2
221,2001,Connecticut,53347,53.3
222,2002,Connecticut,53387,53.4
223,2003,Connecticut,54965,55
224,2004,Connecticut,55100,55.1
225,2005,Connecticut,56835,56.8
226,2006,Connecticut,62404,62.4
227,2007,Connecticut,64141,64.1
228,2008,Connecticut,64682,64.7
229,2009,Connecticut,64851,64.9
230,2010,Connecticut,65998,66
231,2011,Connecticut,65415,65.4
232,2012,Connecticut,64247,64.2
233,2013,Connecticut,69291,69.3
234,2014,Connecticut,70161,70.2
235,2015,Connecticut,72889,72.9
236,2016,Connecticut,75923,75.9
237,2017,Connecticut,74304,74.3
238,2018,Connecticut,72812,72.8
239,1985,Delaware,22980,23
240,1986,Delaware,25626,25.6
241,1987,Delaware,29244,29.2
242,1988,Delaware,30505,30.5
243,1989,Delaware,32068,32.1
244,1990,Delaware,30804,30.8
245,1991,Delaware,32585,32.6
246,1992,Delaware,35678,35.7
247,1993,Delaware,36064,36.1
248,1994,Delaware,35873,35.9
249,1995,Delaware,34928,34.9
250,1996,Delaware,39309,39.3
251,1997,Delaware,43033,43
252,1998,Delaware,41458,41.5
253,1999,Delaware,46628,46.6
254,2000,Delaware,50365,50.4
255,2001,Delaware,49602,49.6
256,2002,Delaware,49650,49.7
257,2003,Delaware,49019,49
258,2004,Delaware,48049,48
259,2005,Delaware,51235,51.2
260,2006,Delaware,52438,52.4
261,2007,Delaware,54589,54.6
262,2008,Delaware,50702,50.7
263,2009,Delaware,52114,52.1
264,2010,Delaware,55214,55.2
265,2011,Delaware,54660,54.7
266,2012,Delaware,48972,49
267,2013,Delaware,54091,54.1
268,2014,Delaware,57522,57.5
269,2015,Delaware,57756,57.8
270,2016,Delaware,58046,58
271,2017,Delaware,64961,65
272,2018,Delaware,65012,65
273,1985,Florida,21343,21.3
274,1986,Florida,22849,22.8
275,1987,Florida,24489,24.5
276,1988,Florida,25406,25.4
277,1989,Florida,26085,26.1
278,1990,Florida,26685,26.7
279,1991,Florida,27252,27.3
280,1992,Florida,27349,27.3
281,1993,Florida,28550,28.6
282,1994,Florida,29294,29.3
283,1995,Florida,29745,29.7
284,1996,Florida,30641,30.6
285,1997,Florida,32455,32.5
286,1998,Florida,34909,34.9
287,1999,Florida,35831,35.8
288,2000,Florida,38856,38.9
289,2001,Florida,36421,36.4
290,2002,Florida,38024,38
291,2003,Florida,38972,39
292,2004,Florida,40535,40.5
293,2005,Florida,42990,43
294,2006,Florida,45676,45.7
295,2007,Florida,45794,45.8
296,2008,Florida,44857,44.9
297,2009,Florida,45631,45.6
298,2010,Florida,44066,44.1
299,2011,Florida,45105,45.1
300,2012,Florida,46071,46.1
301,2013,Florida,48532,48.5
302,2014,Florida,46140,46.1
303,2015,Florida,48825,48.8
304,2016,Florida,51176,51.2
305,2017,Florida,53086,53.1
306,2018,Florida,54644,54.6
307,1985,Georgia,21049,21
308,1986,Georgia,24370,24.4
309,1987,Georgia,26714,26.7
310,1988,Georgia,26566,26.6
311,1989,Georgia,27542,27.5
312,1990,Georgia,27561,27.6
313,1991,Georgia,27212,27.2
314,1992,Georgia,28797,28.8
315,1993,Georgia,31663,31.7
316,1994,Georgia,31467,31.5
317,1995,Georgia,34099,34.1
318,1996,Georgia,32496,32.5
319,1997,Georgia,36663,36.7
320,1998,Georgia,38665,38.7
321,1999,Georgia,39425,39.4
322,2000,Georgia,41901,41.9
323,2001,Georgia,42576,42.6
