,years,state,,
824,1992,Missouri,27361,27.4
825,1993,Missouri,28682,28.7
826,1994,Missouri,30190,30.2
827,1995,Missouri,34825,34.8
828,1996,Missouri,34265,34.3
829,1997,Missouri,36553,36.6
830,1998,Missouri,40201,40.2
831,1999,Missouri,41383,41.4
832,2000,Missouri,45097,45.1
833,2001,Missouri,41339,41.3
834,2002,Missouri,42776,42.8
835,2003,Missouri,43762,43.8
836,2004,Missouri,42137,42.1
837,2005,Missouri,42986,43
838,2006,Missouri,44579,44.6
839,2007,Missouri,46005,46
840,2008,Missouri,46038,46
841,2009,Missouri,48769,48.8
842,2010,Missouri,45817,45.8
843,2011,Missouri,45774,45.8
844,2012,Missouri,49764,49.8
845,2013,Missouri,46303,46.3
846,2014,Missouri,56630,56.6
847,2015,Missouri,59196,59.2
848,2016,Missouri,55016,55
849,2017,Missouri,56530,56.5
850,2018,Missouri,61726,61.7
851,1985,Montana,21939,21.9
852,1986,Montana,21925,21.9
853,1987,Montana,23720,23.7
854,1988,Montana,23443,23.4
855,1989,Montana,26497,26.5
856,1990,Montana,27332,27.3
857,1991,Montana,27926,27.9
858,1992,Montana,27361,27.4
859,1993,Montana,28682,28.7
860,1994,Montana,30190,30.2
861,1995,Montana,34825,34.8
862,1996,Montana,34265,34.3
863,1997,Montana,36553,36.6
864,1998,Montana,40201,40.2
865,1999,Montana,41383,41.4
866,2000,Montana,45097,45.1
867,2001,Montana,41339,41.3
868,2002,Montana,42776,42.8
869,2003,Montana,43762,43.8
870,2004,Montana,42137,42.1
871,2005,Montana,42986,43
872,2006,Montana,44579,44.6
873,2007,Montana,46005,46
874,2008,Montana,46038,46
875,2009,Montana,48769,48.8
876,2010,Montana,45817,45.8
877,2011,Montana,45774,45.8
878,2012,Montana,49764,49.8
879,2013,Montana,46303,46.3
880,2014,Montana,56630,56.6
881,2015,Montana,59196,59.2
882,2016,Montana,55016,55
883,2017,Montana,56530,56.5
884,2018,Montana,61726,61.7
885,1985,Nebraska,21799,21.8
886,1986,Nebraska,21772,21.8
887,1987,Nebraska,23268,23.3
888,1988,Nebraska,25159,25.2
889,1989,Nebraska,26319,26.3
890,1990,Nebraska,27482,27.5
891,1991,Nebraska,29549,29.5
892,1992,Nebraska,30048,30
893,1993,Nebraska,31008,31
894,1994,Nebraska,31794,31.8
895,1995,Nebraska,32929,32.9
896,1996,Nebraska,34014,34
897,1997,Nebraska,34692,34.7
898,1998,Nebraska,36413,36.4
899,1999,Nebraska,38626,38.6
900,2000,Nebraska,41750,41.8
901,2001,Nebraska,43611,43.6
902,2002,Nebraska,42796,42.8
903,2003,Nebraska,43974,44
904,2004,Nebraska,43786,43.8
905,2005,Nebraska,47923,47.9
906,2006,Nebraska,48145,48.1
907,2007,Nebraska,49174,49.2
908,2008,Nebraska,50728,50.7
909,2009,Nebraska,49595,49.6
910,2010,Nebraska,52504,52.5
911,2011,Nebraska,55616,55.6
912,2012,Nebraska,52196,52.2
913,2013,Nebraska,57623,57.6
914,2014,Nebraska,56870,56.9
915,2015,Nebraska,60474,60.5
916,2016,Nebraska,59374,59.4
917,2017,Nebraska,59583,59.6
918,2018,Nebraska,67575,67.6
919,1985,Nevada,23274,23.3
920,1986,Nevada,26217,26.2
921,1987,Nevada,26878,26.9
922,1988,Nevada,27983,28
923,1989,Nevada,29340,29.3
924,1990,Nevada,32023,32
925,1991,Nevada,32937,32.9
926,1992,Nevada,31908,31.9
927,1993,Nevada,35814,35.8
928,1994,Nevada,35871,35.9
929,1995,Nevada,36084,36.1
930,1996,Nevada,38540,38.5
931,1997,Nevada,38854,38.9
932,1998,Nevada,39756,39.8
933,1999,Nevada,41461,41.5
934,2000,Nevada,45758,45.8
935,2001,Nevada,45403,45.4
936,2002,Nevada,44958,45
937,2003,Nevada,45184,45.2
938,2004,Nevada,47204,47.2
939,2005,Nevada,48209,48.2
940,2006,Nevada,52282,52.3
941,2007,Nevada,54058,54.1
942,2008,Nevada,54744,54.7
943,2009,Nevada,51434,51.4
944,2010,Nevada,51200,51.2
945,2011,Nevada,47043,47
946,2012,Nevada,47333,47.3
947,2013,Nevada,51846,51.8
948,2014,Nevada,49875,49.9
949,2015,Nevada,52008,52
950,2016,Nevada,55431,55.4
951,2017,Nevada,58041,58
952,2018,Nevada,61864,61.9
953,1985,New Hampshire,26403,26.4
954,1986,New Hampshire,30548,30.5
955,1987,New Hampshire,32338,32.3
956,1988,New Hampshire,34625,34.6
957,1989,New Hampshire,37532,37.5
958,1990,New Hampshire,40805,40.8
959,1991,New Hampshire,36032,36
960,1992,New Hampshire,39436,39.4
961,1993,New Hampshire,37964,38
962,1994,New Hampshire,35245,35.2
963,1995,New Hampshire,39171,39.2
964,1996,New Hampshire,39407,39.4
965,1997,New Hampshire,40998,41
966,1998,New Hampshire,44958,45
967,1999,New Hampshire,46055,46.1
968,2000,New Hampshire,50926,50.9
969,2001,New Hampshire,51331,51.3
970,2002,New Hampshire,55321,55.3
971,2003,New Hampshire,55567,55.6
972,2004,New Hampshire,56815,56.8
973,2005,New Hampshire,56984,57
974,2006,New Hampshire,61970,62
975,2007,New Hampshire,67576,67.6
976,2008,New Hampshire,66176,66.2
977,2009,New Hampshire,64131,64.1
978,2010,New Hampshire,66633,66.6
979,2011,New Hampshire,65880,65.9
980,2012,New Hampshire,67819,67.8
981,2013,New Hampshire,69099,69.1
982,2014,New Hampshire,73397,73.4
983,2015,New Hampshire,75675,75.7
984,2016,New Hampshire,76260,76.3
985,2017,New Hampshire,75630,75.6
986,2018,New Hampshire,81346,81.3
987,1985,New Jersey,30980,31
988,1986,New Jersey,31715,31.7
989,1987,New Jersey,34241,34.2
990,1988,New Jersey,36287,36.3
991,1989,New Jersey,39120,39.1
992,1990,New Jersey,38734,38.7
993,1991,New Jersey,40049,40
994,1992,New Jersey,39000,39
995,1993,New Jersey,40500,40.5
996,1994,New Jersey,42280,42.3
997,1995,New Jersey,43924,43.9
998,1996,New Jersey,47468,47.5
999,1997,New Jersey,48021,48
1000,1998,New Jersey,49826,49.8
1001,1999,New Jersey,49734,49.7
1002,2000,New Jersey,50405,50.4
1003,2001,New Jersey,51771,51.8
1004,2002,New Jersey,54568,54.6
1005,2003,New Jersey,56045,56
1006,2004,New Jersey,55275,55.3
1007,2005,New Jersey,63368,63.4
1008,2006,New Jersey,68059,68.1
1009,2007,New Jersey,60508,60.5
1010,2008,New Jersey,65306,65.3
1011,2009,New Jersey,64777,64.8
1012,2010,New Jersey,62968,63
1013,2011,New Jersey,62338,62.3
1014,2012,New Jersey,66692,66.7
1015,2013,New Jersey,63754,63.8
1016,2014,New Jersey,65243,65.2
1017,2015,New Jersey,68357,68.4
1018,2016,New Jersey,68468,68.5
1019,2017,New Jersey,71240,71.2
1020,2018,New Jersey,74176,74.2
1021,1985,New Mexico,20423,20.4
1022,1986,New Mexico,19845,19.8
1023,1987,New Mexico,20758,20.8
1024,1988,New Mexico,19296,19.3
1025,1989,New Mexico,22602,22.6
1026,1990,New Mexico,25039,25
1027,1991,New Mexico,26540,26.5
1028,1992,New Mexico,25860,25.9
1029,1993,New Mexico,26758,26.8
1030,1994,New Mexico,26905,26.9
1031,1995,New Mexico,25991,26
1032,1996,New Mexico,25086,25.1
1033,1997,New Mexico,30086,30.1
1034,1998,New Mexico,31543,31.5
1035,1999,New Mexico,32574,32.6
1036,2000,New Mexico,35093,35.1
1037,2001,New Mexico,33124,33.1
1038,2002,New Mexico,35457,35.5
1039,2003,New Mexico,35105,35.1
1040,2004,New Mexico,39562,39.6
1041,2005,New Mexico,38947,38.9
1042,2006,New Mexico,40028,40
1043,2007,New Mexico,44356,44.4
1044,2008,New Mexico,42102,42.1
1045,2009,New Mexico,43542,43.5
1046,2010,New Mexico,45134,45.1
1047,2011,New Mexico,41982,42
1048,2012,New Mexico,43424,43.4
1049,2013,New Mexico,40166,40.2
1050,2014,New Mexico,46686,46.7
1051,2015,New Mexico,45119,45.1
1052,2016,New Mexico,48451,48.5
1053,2017,New Mexico,45601,45.6
1054,2018,New Mexico,48283,48.3
1055,1985,New York,23639,23.6
1056,1986,New York,25025,25
1057,1987,New York,26384,26.4
1058,1988,New York,28915,28.9
1059,1989,New York,31496,31.5
1060,1990,New York,31591,31.6
1061,1991,New York,31794,31.8
1062,1992,New York,31051,31.1
1063,1993,New York,31697,31.7
1064,1994,New York,31899,31.9
1065,1995,New York,33028,33
1066,1996,New York,35410,35.4
1067,1997,New York,35798,35.8
1068,1998,New York,37394,37.4
1069,1999,New York,39989,40
1070,2000,New York,40744,40.7
1071,2001,New York,42114,42.1
1072,2002,New York,41966,42
1073,2003,New York,42788,42.8
1074,2004,New York,44649,44.6
1075,2005,New York,47176,47.2
1076,2006,New York,48222,48.2
1077,2007,New York,48944,48.9
1078,2008,New York,50461,50.5
1079,2009,New York,50216,50.2
1080,2010,New York,49781,49.8
1081,2011,New York,50636,50.6
1082,2012,New York,47680,47.7
1083,2013,New York,49966,50
1084,2014,New York,54310,54.3
1085,2015,New York,58005,58
1086,2016,New York,61437,61.4
1087,2017,New York,61543,61.5
1088,2018,New York,67274,67.3
1089,1985,North Carolina,21451,21.5
1090,1986,North Carolina,21861,21.9
1091,1987,North Carolina,22760,22.8
1092,1988,North Carolina,24415,24.4
1093,1989,North Carolina,26406,26.4
1094,1990,North Carolina,26329,26.3
1095,1991,North Carolina,26853,26.9
1096,1992,North Carolina,27771,27.8
1097,1993,North Carolina,28820,28.8
1098,1994,North Carolina,30114,30.1
1099,1995,North Carolina,31979,32
1100,1996,North Carolina,35601,35.6
1101,1997,North Carolina,35840,35.8
1102,1998,North Carolina,35838,35.8
1103,1999,North Carolina,37254,37.3
1104,2000,North Carolina,38317,38.3
1105,2001,North Carolina,38162,38.2
1106,2002,North Carolina,36515,36.5
1107,2003,North Carolina,37279,37.3
1108,2004,North Carolina,40238,40.2
1109,2005,North Carolina,42056,42.1
1110,2006,North Carolina,39797,39.8
1111,2007,North Carolina,43513,43.5
1112,2008,North Carolina,42930,42.9
1113,2009,North Carolina,41906,41.9
1114,2010,North Carolina,43830,43.8
1115,2011,North Carolina,45206,45.2
1116,2012,North Carolina,41553,41.6
1117,2013,North Carolina,46337,46.3
1118,2014,North Carolina,46784,46.8
1119,2015,North Carolina,50797,50.8
1120,2016,North Carolina,53764,53.8
1121,2017,North Carolina,49547,49.5
1122,2018,North Carolina,53369,53.4
1123,1985,North Dakota,21205,21.2
1124,1986,North Dakota,21508,21.5
1125,1987,North Dakota,22576,22.6
1126,1988,North Dakota,24092,24.1
1127,1989,North Dakota,25229,25.2
1128,1990,North Dakota,25264,25.3
1129,1991,North Dakota,25892,25.9
1130,1992,North Dakota,26959,27
1131,1993,North Dakota,28118,28.1
1132,1994,North Dakota,28278,28.3
1133,1995,North Dakota,29089,29.1
1134,1996,North Dakota,31470,31.5
1135,1997,North Dakota,31661,31.7
1136,1998,North Dakota,30304,30.3
1137,1999,North Dakota,32663,32.7
1138,2000,North Dakota,35996,36
1139,2001,North Dakota,35793,35.8
1140,2002,North Dakota,36200,36.2
1141,2003,North Dakota,40410,40.4
1142,2004,North Dakota,39220,39.2
1143,2005,North Dakota,42192,42.2
1144,2006,North Dakota,41047,41
1145,2007,North Dakota,47205,47.2
1146,2008,North Dakota,49631,49.6
1147,2009,North Dakota,50075,50.1
1148,2010,North Dakota,51006,51
1149,2011,North Dakota,56361,56.4
1150,2012,North Dakota,55766,55.8
1151,2013,North Dakota,59152,59.2
1152,2014,North Dakota,60730,60.7
1153,2015,North Dakota,57415,57.4
1154,2016,North Dakota,60184,60.2
1155,2017,North Dakota,60167,60.2
1156,2018,North Dakota,66505,66.5
1157,1985,Ohio,25174,25.2
1158,1986,Ohio,25115,25.1
1159,1987,Ohio,25773,25.8
1160,1988,Ohio,27740,27.7
1161,1989,Ohio,29021,29
1162,1990,Ohio,30013,30
1163,1991,Ohio,29790,29.8
1164,1992,Ohio,31404,31.4
1165,1993,Ohio,31285,31.3
1166,1994,Ohio,31855,31.9
1167,1995,Ohio,34941,34.9
1168,1996,Ohio,34070,34.1
1169,1997,Ohio,36134,36.1
1170,1998,Ohio,38925,38.9
1171,1999,Ohio,39489,39.5
1172,2000,Ohio,42962,43
1173,2001,Ohio,41785,41.8
1174,2002,Ohio,42684,42.7
1175,2003,Ohio,43520,43.5
1176,2004,Ohio,43055,43.1
1177,2005,Ohio,44203,44.2
1178,2006,Ohio,45900,45.9
1179,2007,Ohio,49099,49.1
1180,2008,Ohio,46934,46.9
1181,2009,Ohio,45879,45.9
1182,2010,Ohio,45886,45.9
1183,2011,Ohio,44648,44.6
1184,2012,Ohio,44375,44.4
1185,2013,Ohio,50748,50.7
1186,2014,Ohio,49644,49.6
1187,2015,Ohio,53301,53.3
1188,2016,Ohio,53985,54
1189,2017,Ohio,60688,60.7
1190,2018,Ohio,61633,61.6
1191,1985,Oklahoma,21205,21.2
1192,1986,Oklahoma,20948,20.9
1193,1987,Oklahoma,21691,21.7
1194,1988,Oklahoma,23667,23.7
1195,1989,Oklahoma,23667,23.7
1196,1990,Oklahoma,24384,24.4
1197,1991,Oklahoma,25462,25.5
1198,1992,Oklahoma,25284,25.3
1199,1993,Oklahoma,26260,26.3
1200,1994,Oklahoma,26991,27
1201,1995,Oklahoma,26311,26.3
1202,1996,Oklahoma,27437,27.4
1203,1997,Oklahoma,31351,31.4
1204,1998,Oklahoma,33727,33.7
1205,1999,Oklahoma,32683,32.7
1206,2000,Oklahoma,32432,32.4
1207,2001,Oklahoma,35609,35.6
1208,2002,Oklahoma,36458,36.5
1209,2003,Oklahoma,35902,35.9
1210,2004,Oklahoma,39614,39.6
1211,2005,Oklahoma,37645,37.6
1212,2006,Oklahoma,38838,38.8
1213,2007,Oklahoma,43216,43.2
1214,2008,Oklahoma,46111,46.1
1215,2009,Oklahoma,45878,45.9
1216,2010,Oklahoma,43103,43.1
1217,2011,Oklahoma,48455,48.5
1218,2012,Oklahoma,48407,48.4
1219,2013,Oklahoma,46162,46.2
1220,2014,Oklahoma,47199,47.2
1221,2015,Oklahoma,47077,47.1
1222,2016,Oklahoma,50943,50.9
1223,2017,Oklahoma,51882,51.9
1224,2018,Oklahoma,54434,54.4
1225,1985,Oregon,21894,21.9
1226,1986,Oregon,24773,24.8
1227,1987,Oregon,25038,25
1228,1988,Oregon,27748,27.7
1229,1989,Oregon,28529,28.5
1230,1990,Oregon,29281,29.3
1231,1991,Oregon,30190,30.2
1232,1992,Oregon,31927,31.9
1233,1993,Oregon,33138,33.1
1234,1994,Oregon,31456,31.5
1235,1995,Oregon,36374,36.4
1236,1996,Oregon,35492,35.5
1237,1997,Oregon,37247,37.2
1238,1998,Oregon,39067,39.1
1239,1999,Oregon,40619,40.6
1240,2000,Oregon,42499,42.5
1241,2001,Oregon,41273,41.3
1242,2002,Oregon,41802,41.8
1243,2003,Oregon,41638,41.6
1244,2004,Oregon,40994,41
1245,2005,Oregon,44159,44.2
1246,2006,Oregon,47091,47.1
1247,2007,Oregon,50236,50.2
1248,2008,Oregon,51727,51.7
1249,2009,Oregon,49098,49.1
1250,2010,Oregon,50602,50.6
1251,2011,Oregon,51526,51.5
1252,2012,Oregon,51775,51.8
1253,2013,Oregon,48999,49
1254,2014,Oregon,58875,58.9
1255,2015,Oregon,60834,60.8
1256,2016,Oregon,59135,59.1
1257,2017,Oregon,62498,62.5
1258,2018,Oregon,69165,69.2
1259,1985,Pennsylvania,22877,22.9
1260,1986,Pennsylvania,23807,23.8
1261,1987,Pennsylvania,25424,25.4
1262,1988,Pennsylvania,26742,26.7
1263,1989,Pennsylvania,28690,28.7
1264,1990,Pennsylvania,29005,29
1265,1991,Pennsylvania,30367,30.4
1266,1992,Pennsylvania,29882,29.9
1267,1993,Pennsylvania,30995,31
1268,1994,Pennsylvania,32066,32.1
1269,1995,Pennsylvania,34524,34.5
1270,1996,Pennsylvania,34899,34.9
1271,1997,Pennsylvania,37517,37.5
1272,1998,Pennsylvania,39015,39
1273,1999,Pennsylvania,37758,37.8
1274,2000,Pennsylvania,42176,42.2
1275,2001,Pennsylvania,43499,43.5
1276,2002,Pennsylvania,42498,42.5
1277,2003,Pennsylvania,42933,42.9
1278,2004,Pennsylvania,44106,44.1
1279,2005,Pennsylvania,46300,46.3
1280,2006,Pennsylvania,48477,48.5
1281,2007,Pennsylvania,48437,48.4
1282,2008,Pennsylvania,51402,51.4
1283,2009,Pennsylvania,48172,48.2
1284,2010,Pennsylvania,48314,48.3
1285,2011,Pennsylvania,49910,49.9
1286,2012,Pennsylvania,51904,51.9
1287,2013,Pennsylvania,55156,55.2
1288,2014,Pennsylvania,55173,55.2
1289,2015,Pennsylvania,60389,60.4
1290,2016,Pennsylvania,60979,61
1291,2017,Pennsylvania,61285,61.3
1292,2018,Pennsylvania,64524,64.5
1293,1985,Rhode Island,24625,24.6
1294,1986,Rhode Island,26540,26.5
1295,1987,Rhode Island,28292,28.3
1296,1988,Rhode Island,29842,29.8
1297,1989,Rhode Island,30124,30.1
1298,1990,Rhode Island,31968,32
1299,1991,Rhode Island,30836,30.8
1300,1992,Rhode Island,30432,30.4
1301,1993,Rhode Island,33509,33.5
1302,1994,Rhode Island,31928,31.9
1303,1995,Rhode Island,35359,35.4
1304,1996,Rhode Island,36986,37
1305,1997,Rhode Island,34797,34.8
1306,1998,Rhode Island,40686,40.7
1307,1999,Rhode Island,42719,42.7
1308,2000,Rhode Island,42197,42.2
1309,2001,Rhode Island,45723,45.7
1310,2002,Rhode Island,42417,42.4
1311,2003,Rhode Island,44711,44.7
1312,2004,Rhode Island,47935,47.9
1313,2005,Rhode Island,49484,49.5
1314,2006,Rhode Island,53736,53.7
1315,2007,Rhode Island,54210,54.2
1316,2008,Rhode Island,53241,53.2
1317,2009,Rhode Island,51634,51.6
1318,2010,Rhode Island,51623,51.6
1319,2011,Rhode Island,49033,49
1320,2012,Rhode Island,56065,56.1
1321,2013,Rhode Island,56323,56.3
1322,2014,Rhode Island,58633,58.6
1323,2015,Rhode Island,55701,55.7
1324,2016,Rhode Island,61528,61.5
1325,2017,Rhode Island,65401,65.4
1326,2018,Rhode Island,62266,62.3
1327,1985,South Carolina,20036,20
1328,1986,South Carolina,21968,22
1329,1987,South Carolina,25049,25
1330,1988,South Carolina,25533,25.5
1331,1989,South Carolina,23798,23.8
1332,1990,South Carolina,28735,28.7
1333,1991,South Carolina,27463,27.5
1334,1992,South Carolina,27578,27.6
1335,1993,South Carolina,26053,26.1
1336,1994,South Carolina,29846,29.8
1337,1995,South Carolina,29071,29.1
1338,1996,South Carolina,34665,34.7
1339,1997,South Carolina,34262,34.3
1340,1998,South Carolina,33267,33.3
1341,1999,South Carolina,36462,36.5
1342,2000,South Carolina,37570,37.6
1343,2001,South Carolina,37736,37.7
1344,2002,South Carolina,37812,37.8
1345,2003,South Carolina,38479,38.5
1346,2004,South Carolina,38691,38.7
1347,2005,South Carolina,40230,40.2
1348,2006,South Carolina,39617,39.6
1349,2007,South Carolina,44213,44.2
1350,2008,South Carolina,42155,42.2
1351,2009,South Carolina,41101,41.1
1352,2010,South Carolina,41698,41.7
1353,2011,South Carolina,40084,40.1
1354,2012,South Carolina,44401,44.4
1355,2013,South Carolina,43563,43.6
1356,2014,South Carolina,44929,44.9
1357,2015,South Carolina,46360,46.4
1358,2016,South Carolina,54336,54.3
1359,2017,South Carolina,54537,54.5
1360,2018,South Carolina,57444,57.4
1361,1985,South Dakota,18142,18.1
1362,1986,South Dakota,19898,19.9
1363,1987,South Dakota,21151,21.2
1364,1988,South Dakota,22294,22.3
1365,1989,South Dakota,24108,24.1
1366,1990,South Dakota,24571,24.6
1367,1991,South Dakota,24639,24.6
1368,1992,South Dakota,26259,26.3
1369,1993,South Dakota,27737,27.7
1370,1994,South Dakota,29733,29.7
1371,1995,South Dakota,29578,29.6
1372,1996,South Dakota,29526,29.5
1373,1997,South Dakota,29694,29.7
1374,1998,South Dakota,32786,32.8
1375,1999,South Dakota,35828,35.8
1376,2000,South Dakota,36475,36.5
1377,2001,South Dakota,39671,39.7
1378,2002,South Dakota,37873,37.9
1379,2003,South Dakota,39522,39.5
1380,2004,South Dakota,41107,41.1
1381,2005,South Dakota,43151,43.2
1382,2006,South Dakota,45427,45.4
1383,2007,South Dakota,46418,46.4
1384,2008,South Dakota,51600,51.6
1385,2009,South Dakota,45826,45.8
1386,2010,South Dakota,45352,45.4
1387,2011,South Dakota,47223,47.2
1388,2012,South Dakota,49415,49.4
1389,2013,South Dakota,53413,53.4
1390,2014,South Dakota,53053,53.1
1391,2015,South Dakota,55065,55.1
1392,2016,South Dakota,57450,57.5
1393,2017,South Dakota,56914,56.9
1394,2018,South Dakota,59463,59.5
1395,1985,Tennessee,17778,17.8
1396,1986,Tennessee,18256,18.3
1397,1987,Tennessee,21179,21.2
1398,1988,Tennessee,20856,20.9
1399,1989,Tennessee,22611,22.6
1400,1990,Tennessee,22592,22.6
1401,1991,Tennessee,24453,24.5
1402,1992,Tennessee,24318,24.3
1403,1993,Tennessee,25102,25.1
1404,1994,Tennessee,28639,28.6
1405,1995,Tennessee,29015,29
1406,1996,Tennessee,30790,30.8
1407,1997,Tennessee,30636,30.6
1408,1998,Tennessee,34091,34.1
1409,1999,Tennessee,36522,36.5
1410,2000,Tennessee,34096,34.1
1411,2001,Tennessee,35783,35.8
1412,2002,Tennessee,37030,37
1413,2003,Tennessee,37523,37.5
1414,2004,Tennessee,38072,38.1
1415,2005,Tennessee,39406,39.4
1416,2006,Tennessee,40693,40.7
1417,2007,Tennessee,41195,41.2
1418,2008,Tennessee,39702,39.7
1419,2009,Tennessee,40517,40.5
1420,2010,Tennessee,38591,38.6
1421,2011,Tennessee,42279,42.3
1422,2012,Tennessee,42995,43
1423,2013,Tennessee,43361,43.4
1424,2014,Tennessee,43716,43.7
1425,2015,Tennessee,47330,47.3
1426,2016,Tennessee,51344,51.3
1427,2017,Tennessee,55306,55.3
1428,2018,Tennessee,56060,56.1
1429,1985,Texas,23743,23.7
1430,1986,Texas,24162,24.2
1431,1987,Texas,24721,24.7
1432,1988,Texas,24963,25
1433,1989,Texas,25886,25.9
1434,1990,Texas,28228,28.2
1435,1991,Texas,27733,27.7
1436,1992,Texas,27953,28
1437,1993,Texas,28727,28.7
1438,1994,Texas,30755,30.8
1439,1995,Texas,32039,32
1440,1996,Texas,33072,33.1
1441,1997,Texas,35075,35.1
1442,1998,Texas,35783,35.8
1443,1999,Texas,38688,38.7
1444,2000,Texas,38609,38.6
1445,2001,Texas,40860,40.9
1446,2002,Texas,40149,40.1
1447,2003,Texas,39271,39.3
1448,2004,Texas,41397,41.4
1449,2005,Texas,41422,41.4
1450,2006,Texas,43307,43.3
1451,2007,Texas,46053,46.1
1452,2008,Texas,46490,46.5
1453,2009,Texas,47475,47.5
1454,2010,Texas,47266,47.3
1455,2011,Texas,49047,49
1456,2012,Texas,51926,51.9
1457,2013,Texas,51406,51.4
1458,2014,Texas,53875,53.9
1459,2015,Texas,56473,56.5
1460,2016,Texas,58146,58.1
1461,2017,Texas,60092,60.1
1462,2018,Texas,59785,59.8
1463,1985,Utah,25238,25.2
1464,1986,Utah,26281,26.3
1465,1987,Utah,26529,26.5
1466,1988,Utah,26313,26.3
1467,1989,Utah,30717,30.7
1468,1990,Utah,30142,30.1
1469,1991,Utah,28016,28
1470,1992,Utah,34251,34.3
1471,1993,Utah,35786,35.8
1472,1994,Utah,35716,35.7
1473,1995,Utah,36480,36.5
1474,1996,Utah,37038,37
1475,1997,Utah,42775,42.8
1476,1998,Utah,44299,44.3
1477,1999,Utah,46050,46.1
1478,2000,Utah,47550,47.6
1479,2001,Utah,47342,47.3
1480,2002,Utah,47861,47.9
1481,2003,Utah,49275,49.3
1482,2004,Utah,50871,50.9
1483,2005,Utah,54813,54.8
1484,2006,Utah,54628,54.6
1485,2007,Utah,53529,53.5
1486,2008,Utah,62537,62.5
1487,2009,Utah,58491,58.5
1488,2010,Utah,56701,56.7
1489,2011,Utah,55493,55.5
1490,2012,Utah,58341,58.3
1491,2013,Utah,61047,61
1492,2014,Utah,63383,63.4
1493,2015,Utah,66258,66.3
1494,2016,Utah,67481,67.5
1495,2017,Utah,69789,69.8
1496,2018,Utah,77067,77.1
1497,1985,Vermont,26000,26
1498,1986,Vermont,24599,24.6
1499,1987,Vermont,25415,25.4
1500,1988,Vermont,28988,29
1501,1989,Vermont,31295,31.3
1502,1990,Vermont,31098,31.1
1503,1991,Vermont,29155,29.2
1504,1992,Vermont,32755,32.8
1505,1993,Vermont,31065,31.1
1506,1994,Vermont,35802,35.8
1507,1995,Vermont,33824,33.8
1508,1996,Vermont,32358,32.4
1509,1997,Vermont,35053,35.1
1510,1998,Vermont,39372,39.4
1511,1999,Vermont,41584,41.6
1512,2000,Vermont,39594,39.6
1513,2001,Vermont,40794,40.8
1514,2002,Vermont,42999,43
1515,2003,Vermont,43261,43.3
1516,2004,Vermont,47329,47.3
1517,2005,Vermont,50704,50.7
1518,2006,Vermont,51981,52
1519,2007,Vermont,47390,47.4
1520,2008,Vermont,50706,50.7
1521,2009,Vermont,52318,52.3
1522,2010,Vermont,55928,55.9
1523,2011,Vermont,51862,51.9
1524,2012,Vermont,55582,55.6
1525,2013,Vermont,65513,65.5
1526,2014,Vermont,60708,60.7
1527,2015,Vermont,59494,59.5
1528,2016,Vermont,60837,60.8
1529,2017,Vermont,63682,63.7
1530,2018,Vermont,70066,70.1
1531,1985,Virginia,28429,28.4
1532,1986,Virginia,29715,29.7
1533,1987,Virginia,29996,30
1534,1988,Virginia,32648,32.6
1535,1989,Virginia,34118,34.1
1536,1990,Virginia,35073,35.1
1537,1991,Virginia,36137,36.1
1538,1992,Virginia,38198,38.2
1539,1993,Virginia,36433,36.4
1540,1994,Virginia,37647,37.6
1541,1995,Virginia,36222,36.2
1542,1996,Virginia,39211,39.2
1543,1997,Virginia,42957,43
1544,1998,Virginia,43354,43.4
1545,1999,Virginia,45693,45.7
1546,2000,Virginia,47163,47.2
1547,2001,Virginia,50241,50.2
1548,2002,Virginia,49631,49.6
1549,2003,Virginia,54783,54.8
1550,2004,Virginia,51141,51.1
1551,2005,Virginia,51914,51.9
1552,2006,Virginia,57119,57.1
1553,2007,Virginia,59161,59.2
1554,2008,Virginia,61985,62
1555,2009,Virginia,60501,60.5
1556,2010,Virginia,60367,60.4
1557,2011,Virginia,62616,62.6
1558,2012,Virginia,64632,64.6
1559,2013,Virginia,65907,65.9
1560,2014,Virginia,66155,66.2
1561,2015,Virginia,61486,61.5
1562,2016,Virginia,66451,66.5
1563,2017,Virginia,70811,70.8
1564,2018,Virginia,77151,77.2
1565,1985,Washington,24000,24
1566,1986,Washington,26881,26.9
1567,1987,Washington,27319,27.3
1568,1988,Washington,32327,32.3
1569,1989,Washington,31961,32
1570,1990,Washington,32112,32.1
1571,1991,Washington,33970,34
1572,1992,Washington,33900,33.9
1573,1993,Washington,35655,35.7
1574,1994,Washington,33533,33.5
1575,1995,Washington,35568,35.6
1576,1996,Washington,36676,36.7
1577,1997,Washington,44562,44.6
1578,1998,Washington,47421,47.4
1579,1999,Washington,45473,45.5
1580,2000,Washington,42525,42.5
1581,2001,Washington,42490,42.5
1582,2002,Washington,45183,45.2
1583,2003,Washington,47508,47.5
1584,2004,Washington,49922,49.9
1585,2005,Washington,50646,50.6
1586,2006,Washington,54723,54.7
1587,2007,Washington,58080,58.1
1588,2008,Washington,56631,56.6
1589,2009,Washington,60392,60.4
1590,2010,Washington,56163,56.2
1591,2011,Washington,56850,56.9
1592,2012,Washington,62187,62.2
1593,2013,Washington,63922,63.9
1594,2014,Washington,59068,59.1
1595,2015,Washington,67243,67.2
1596,2016,Washington,70310,70.3
1597,2017,Washington,71540,71.5
1598,2018,Washington,79726,79.7
